id,name,originating_house,status,status_note,submitted_date,created_at,updated_at,thumbnail_url,publish_status,is_featured,share_thumbnail_url,shugiin_url,diet_session_id,knowledge_source,use_knowledge_source_in_chat,explanation_material_urls,member_votes
e68f01d0-52de-50e4-9b09-1e7433176c88,議案第69号　田川市教育委員会委員の任命について（光井敬夫氏）,HR,enacted,同意（本会議会議録より自動抽出）,2019-12-19,2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z,/img/bill-thumbnails/personnel.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html,ad22c52c-ae11-52ce-ab83-a2414f9976ad,,false,,
5652890b-55cb-548a-93aa-4d7e3e895998,議案第5号　地方財政の充実・強化を求める意見書について,HR,enacted,原案可決（本会議会議録より自動抽出）,2019-12-19,2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z,/img/bill-thumbnails/opinion.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html,ad22c52c-ae11-52ce-ab83-a2414f9976ad,,false,"[{""label"":""5号 地方財政の充実・強化を求める意見書について"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0036592/3_6592_13822_up_0ntagwhz.pdf""}]",
0f5b3212-0e6e-511f-a2ed-07e114fba01b,議案第6号　地元負担のない鉄道によるJR日田彦山線の早期復旧に関する意見書について,HR,enacted,原案可決（本会議会議録より自動抽出）,2019-12-19,2019-12-19T00:00:00.000Z,2019-12-19T00:00:00.000Z,/img/bill-thumbnails/opinion.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0036592/index.html,ad22c52c-ae11-52ce-ab83-a2414f9976ad,,false,"[{""label"":""6号 地元負担のない鉄道によるJR日田彦山線の早期復旧に関する意見書について"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0036592/3_6592_13821_up_z672sz5a.pdf""}]",
d65887cd-5ab3-5a7d-a74a-1453b39109c0,報告第1号　市長専決処分の報告並びに承認を求めることについて（専決第2号 令和2年度田川市一般会計補正予算）,HR,enacted,承認,2021-02-19,2021-02-19T00:00:00.000Z,2021-02-19T00:00:00.000Z,/img/bill-thumbnails/special-disposition.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html,4ef68ad5-4a1e-52a7-b31a-a1f904e8201e,,false,,
1c8e055d-566a-5f84-a425-3bd346dd95b7,議案第1号　令和2年度田川市一般会計補正予算,HR,enacted,原案可決,2021-03-04,2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,/img/bill-thumbnails/budget.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html,4ef68ad5-4a1e-52a7-b31a-a1f904e8201e,,false,"[{""label"":""1号 総務文教委員会"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19192_up_e8wlholw.pdf""},{""label"":""1号 厚生委員会"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19190_up_qavi0ry6.pdf""},{""label"":""1号 建設経済委員会"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19191_up_3j5rh0us.pdf""}]","{""imageUrl"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19243_up_plzq7tq5.png"",""sourceUrl"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html"",""notes"":[""会派名: 令和＝令和クラブ、社民党＝社民党市議会議員団、共産党＝日本共産党市会議員団"",""上記以外の案件は、賛否が分かれることなく可決されました。北山議員は議長のため採決には加わりません。""],""entries"":[{""name"":""髙瀬"",""faction"":""令和"",""vote"":""yes""},{""name"":""香月"",""faction"":""社民党"",""vote"":""yes""},{""name"":""石松"",""faction"":""社民党"",""vote"":""yes""},{""name"":""陸田"",""faction"":""孔志会"",""vote"":""yes""},{""name"":""小林"",""faction"":""孔志会"",""vote"":""no""},{""name"":""梶原"",""faction"":""孔志会"",""vote"":""no""},{""name"":""白石"",""faction"":""孔志会"",""vote"":""no""},{""name"":""加藤"",""faction"":""公明改革クラブ"",""vote"":""yes""},{""name"":""吉岡"",""faction"":""公明改革クラブ"",""vote"":""yes""},{""name"":""佐々木"",""faction"":""公明改革クラブ"",""vote"":""yes""},{""name"":""佐藤"",""faction"":""共産党"",""vote"":""no""},{""name"":""柿田"",""faction"":""共産党"",""vote"":""no""},{""name"":""尾﨑"",""faction"":""清風会"",""vote"":""yes""},{""name"":""梅林"",""faction"":""清風会"",""vote"":""yes""},{""name"":""松岡"",""faction"":""清風会"",""vote"":""yes""},{""name"":""原田"",""faction"":""新風会"",""vote"":""yes""},{""name"":""村上"",""faction"":""新風会"",""vote"":""yes""},{""name"":""今村"",""faction"":""新風会"",""vote"":""yes""},{""name"":""田守"",""faction"":""新風会"",""vote"":""yes""}]}"
a925bee1-9b1e-559f-8d33-a0710c73af03,議案第2号　令和2年度田川市国民健康保険特別会計補正予算,HR,enacted,原案可決,2021-03-04,2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,/img/bill-thumbnails/budget.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html,4ef68ad5-4a1e-52a7-b31a-a1f904e8201e,,false,"[{""label"":""2号 説明資料 予算書は議案第1号を参照"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19193_up_gpx812lj.pdf""}]",
b10f9dde-0c6a-5285-9ef4-cd684d737274,議案第3号　令和2年度田川市後期高齢者医療特別会計補正予算,HR,enacted,原案可決,2021-03-04,2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,/img/bill-thumbnails/budget.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html,4ef68ad5-4a1e-52a7-b31a-a1f904e8201e,,false,"[{""label"":""3号 説明資料"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19194_up_eqh4o04s.pdf""}]",
e0be4396-1b56-5bb2-9d27-3e6d8dde7678,議案第4号　令和2年度田川市急患医療特別会計補正予算,HR,enacted,原案可決,2021-03-04,2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,/img/bill-thumbnails/budget.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html,4ef68ad5-4a1e-52a7-b31a-a1f904e8201e,,false,"[{""label"":""4号 説明資料"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19195_up_qor2xnms.pdf""}]",
0f38e125-2f42-5f9a-af37-5cfab916b2e3,議案第5号　令和2年度田川市病院事業会計補正予算,HR,enacted,原案可決,2021-03-04,2021-03-04T00:00:00.000Z,2021-03-04T00:00:00.000Z,/img/bill-thumbnails/budget.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html,4ef68ad5-4a1e-52a7-b31a-a1f904e8201e,,false,"[{""label"":""5号 説明資料"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19196_up_rzchcjaa.pdf""}]",
96f6c285-a660-5730-ad21-9d2369b4ac1c,議案第6号　令和3年度田川市一般会計予算,HR,enacted,原案可決,2021-03-18,2021-03-18T00:00:00.000Z,2021-03-18T00:00:00.000Z,/img/bill-thumbnails/budget.webp,published,false,,https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html,4ef68ad5-4a1e-52a7-b31a-a1f904e8201e,,false,"[{""label"":""6号 総務文教委員会"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19570_up_vb80ttko.pdf""},{""label"":""6号 厚生委員会"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19571_up_10atd0e6.pdf""},{""label"":""6号 建設経済委員会"",""url"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_32983_up_cic63jd1.pdf""}]","{""imageUrl"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/3_7279_19243_up_plzq7tq5.png"",""sourceUrl"":""https://www.joho.tagawa.fukuoka.jp/kiji0037279/index.html"",""notes"":[""会派名: 令和＝令和クラブ、社民党＝社民党市議会議員団、共産党＝日本共産党市会議員団"",""上記以外の案件は、賛否が分かれることなく可決されました。北山議員は議長のため採決には加わりません。""],""entries"":[{""name"":""髙瀬"",""faction"":""令和"",""vote"":""yes""},{""name"":""香月"",""faction"":""社民党"",""vote"":""yes""},{""name"":""石松"",""faction"":""社民党"",""vote"":""yes""},{""name"":""陸田"",""faction"":""孔志会"",""vote"":""yes""},{""name"":""小林"",""faction"":""孔志会"",""vote"":""no""},{""name"":""梶原"",""faction"":""孔志会"",""vote"":""no""},{""name"":""白石"",""faction"":""孔志会"",""vote"":""no""},{""name"":""加藤"",""faction"":""公明改革クラブ"",""vote"":""yes""},{""name"":""吉岡"",""faction"":""公明改革クラブ"",""vote"":""yes""},{""name"":""佐々木"",""faction"":""公明改革クラブ"",""vote"":""yes""},{""name"":""佐藤"",""faction"":""共産党"",""vote"":""no""},{""name"":""柿田"",""faction"":""共産党"",""vote"":""no""},{""name"":""尾﨑"",""faction"":""清風会"",""vote"":""yes""},{""name"":""梅林"",""faction"":""清風会"",""vote"":""yes""},{""name"":""松岡"",""faction"":""清風会"",""vote"":""yes""},{""name"":""原田"",""faction"":""新風会"",""vote"":""yes""},{""name"":""村上"",""faction"":""新風会"",""vote"":""yes""},{""name"":""今村"",""faction"":""新風会"",""vote"":""yes""},{""name"":""田守"",""faction"":""新風会"",""vote"":""yes""}]}"
