id,label,created_at,updated_at,featured_priority,description
745c5285-744d-5ce3-8c80-55119b1dfb15,予算,2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z,2,毎年度の市の使いみちを決める予算案
d175e18f-da50-5b8b-945c-a9fe5e18b85a,条例,2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z,4,市民生活に直接関わるルールを定める条例改正
15dfe9f2-93bd-504c-99cd-c2f1abb0379b,計画・構想,2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z,,
f4b3b4b3-1efe-5e3c-aa70-fa7f67ed8e26,人事,2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z,,
569328aa-1e05-5101-a604-b34150830f83,意見書,2019-12-02T00:00:00.000Z,2019-12-02T00:00:00.000Z,5,国・県などへ田川市議会としての意見を提出する意見書
34c7a402-4d3e-5763-9e11-e9e63e9291b8,専決処分承認,2021-02-19T00:00:00.000Z,2021-02-19T00:00:00.000Z,,
21f56d0d-017a-5a03-961c-1e855c40e9ea,その他,2021-02-19T00:00:00.000Z,2021-02-19T00:00:00.000Z,,
ca7ff4f7-34d4-5f60-b7f1-00ae252f10a0,契約・工事,2021-02-19T00:00:00.000Z,2021-02-19T00:00:00.000Z,,
f88ee48c-5404-5f2b-adea-9b6c35edcbd8,財産処分・取得,2021-02-19T00:00:00.000Z,2021-02-19T00:00:00.000Z,,
d0ad6fcf-c47c-569c-894e-37c86b128f64,請願・陳情,2021-02-19T00:00:00.000Z,2021-02-19T00:00:00.000Z,,
81e11b1b-2c2d-5b99-b16c-abb95c6497b5,決算,2021-09-06T00:00:00.000Z,2021-09-06T00:00:00.000Z,3,前年度の税金の使われ方が適切だったかを審査する決算案
e765b6d8-512d-5d47-8e9d-fa6c596469a0,決議,2021-11-30T00:00:00.000Z,2021-11-30T00:00:00.000Z,1,議長・市長への不信任、辞職勧告など、政治的に注目度の高い決議案
1531a70b-d7e9-5744-9302-7ab6bde10a71,一部事務組合,2022-06-14T00:00:00.000Z,2022-06-14T00:00:00.000Z,,
